LIBRARY,FID
S_1837_S256,NSW_1079809
S_1839_S299,NSW_1079809
S_1841_S250,NSW_1079809
S_1845_S34,NSW_1079809
S_185_S72,NSW_1071148
S_1855_S49,NSW_1079813
S_1856_S51,NSW_1079813
S_1861_S1_L003,NSW_1079814
S_1865_S374,NSW_1079814
S_1866_S158,NSW_1079814
S_1871_S186,NSW_1079814
S_1874_S244,NSW_1079818
S_1877_S262,NSW_1079818
S_188_S79,NSW_1071148
S_189_S37_L003,NSW_1071148
S_1899_S193,NSW_1079821
S_190_S2,NSW_1071148
S_1900_S242,NSW_1079821
S_1909_S132,NSW_1079822
S_1910_S23_L003,NSW_1079822
S_1921_S54,NSW_1080758
S_1934_S21_L003,NSW_1080759
S_1935_S15,NSW_1080759
S_1936_S218,NSW_1080759
S_1939_S59,NSW_1080759
S_1945_S21,NSW_1080761
S_1946_S184,NSW_1080761
S_1950_S66,NSW_1080761
S_1952_S293,NSW_1080761
S_1955_S145,NSW_1080761
S_1956_S127,NSW_1080761
S_1969_S291,NSW_1080762
S_197_S207,NSW_1074318
S_1971_S104,NSW_1080762
S_1973_S267,NSW_1080762
S_198_S304,NSW_1074318
S_199_S59_L003,NSW_1074318
S_1998_S79_L003,NSW_1080764
S_2005_S22,NSW_1080765
S_2008_S85_L003,NSW_1080765
S_2010_S200,NSW_1080765
S_2014_S264,NSW_1080765
S_2015_S266,NSW_1080765
S_2025_S28,NSW_1080766
S_2029_S18_L003,NSW_1080767
S_2031_S70,NSW_1080767
S_2037_S371,NSW_1080767
S_2038_S118,NSW_1080767
S_2039_S155,NSW_1080767
S_2066_S68_L003,NSW_1080770
S_2073_S215,NSW_1080770
S_2075_S187,NSW_1080770
S_2076_S5_L003,NSW_1080770
S_2077_S82_L003,NSW_1080771
S_2080_S6_L003,NSW_1080771
S_2083_S65_L003,NSW_1080771
S_2089_S17,NSW_1080772
S_209_S379,NSW_1074324
S_2096_S54_L003,NSW_1080772
S_2098_S191,NSW_1080772
S_2099_S335,NSW_1080772
S_210_S177,NSW_1075719
S_2103_S301,NSW_1080773
S_2104_S224,NSW_1080773
S_2105_S269,NSW_1080773
S_2107_S349,NSW_1080773
S_2108_S154,NSW_1080773
S_2115_S280,NSW_1080774
S_2116_S350,NSW_1080774
S_212_S12,NSW_1075719
S_2120_S134,NSW_1080774
S_2124_S101,NSW_1080774
S_2125_S140,NSW_1080775
S_2126_S35,NSW_1080775
S_2130_S16_L003,NSW_1080775
S_2135_S234,NSW_1080775
S_2138_S112,NSW_1080776
S_2139_S60,NSW_1080776
S_2140_S363,NSW_1080776
S_2143_S84_L003,NSW_1080776
S_2145_S212,NSW_1080776
S_2149_S9_L003,NSW_1080777
S_2155_S383,NSW_1080777
S_2157_S122,NSW_1080777
S_2162_S4_L003,NSW_1080778
S_2167_S81_L003,NSW_1080778
S_2177_S11_L003,NSW_1080779
S_2187_S360,NSW_1080780
S_2192_S307,NSW_1080780
S_2193_S216,NSW_1080780
S_2194_S133,NSW_1080780
S_2195_S129,NSW_1080780
S_2198_S47_L003,NSW_1080781
S_2200_S5,NSW_1080781
S_2201_S214,NSW_1080781
S_2203_S277,NSW_1080781
S_2211_S38_L003,NSW_1080782
S_2212_S230,NSW_1080782
S_2214_S290,NSW_1080782
S_2224_S161,NSW_1080784
S_2225_S110,NSW_1080784
S_2226_S298,NSW_1080784
S_2228_S346,NSW_1080784
S_2232_S273,NSW_1080784
S_2233_S80_L003,NSW_1080785
S_225_S143,NSW_1074324
S_2271_S195,NSW_1080787
S_2277_S189,NSW_1080787
S_228_S138,NSW_1075719
S_2285_S158,NSW_1075708
S_229_S24_L003,NSW_1074429
S_2296_S115,NSW_1075704
S_2299_S281,NSW_1075704
S_2302_S259,NSW_1075704
S_2307_S288,NSW_1075720
