"","NSWID","FID","species","longitude","latitude","sample_lib_NSW","SeedlingNumb","Pop","ID","IID","height","rust_infection","LeavesShootInfect","LeavesShootRustSchore1.5","MinorBranchDB","MajorBranchDB","CrownDensity","Notes"
"100","NSW1079696","NSW_1079696","Melaleuca quinquenervia",152.4517557,-32.40652495,"NSW_1079696_S50",12,"p72bbeb40","NSW_1079696_12",816,7,"0",NA,NA,"no","no",80,"might be planted (in a row in carpark)"
"101","NSW1079697","NSW_1079697","Melaleuca quinquenervia",152.1213281,-32.74757274,"NSW_1079697_S34",12,"p9c3c9590","NSW_1079697_12",828,13,"0A","1-5",NA,"no","yes",35,""
"102","NSW1079701","NSW_1079701","Melaleuca quinquenervia",152.4517494,-32.40648032,"NSW_1079701_S90",12,"p72bbeb40","NSW_1079701_12",840,14,"0A","1-5",NA,"no","no",60,""
"103","NSW1079702","NSW_1079702","Melaleuca quinquenervia",151.5512684,-33.21041547,NA,NA,"d135bc30-11b3-11eb-fb0d-4fec86b22e66",NA,NA,17,"0","5-10",NA,"no","no",90,""
"104","NSW1079702","NSW_1079702","Melaleuca quinquenervia",152.1210819,-32.75007599,"NSW_1079702_1_S170",12,"p9c3c9590","NSW_1079702_12",864,NA,NA,NA,NA,NA,NA,NA,NA
"105","NSW1079702","NSW_1079702","Melaleuca quinquenervia",152.1210819,-32.75007599,"NSW_1079702_S170",12,"p9c3c9590","NSW_1079702_12",864,NA,NA,NA,NA,NA,NA,NA,NA
"106","NSW1079703","NSW_1079703","Melaleuca quinquenervia",152.1212028,-32.74896662,"NSW_1079703_S44",12,"p9c3c9590","NSW_1079703_12",876,9,"0A","10-50",NA,"no","no",70,""
"107","NSW1079705","NSW_1079705","Melaleuca quinquenervia",152.5345676,-32.253502,"NSW_1079705_S148",12,"pbb515550","NSW_1079705_12",888,9,"infected","90+",3,"yes","no",40,"new leaves affected"
"108","NSW1079706","NSW_1079706","Melaleuca quinquenervia",152.5341452,-32.25345377,"NSW_1079706_S46",12,"pbb515550","NSW_1079706_12",912,14,"0A","50-90",NA,"no","no",55,""
"109","NSW1079707","NSW_1079707","Melaleuca quinquenervia",151.5512577,-33.21065443,"NSW_1079707_S160",12,"pd135bc30","NSW_1079707_12",924,11,"0A","10-50",NA,"no","no",45,""
"110","NSW1079708","NSW_1079708","Melaleuca quinquenervia",152.1212337,-32.748032,"NSW_1079708_S33",12,"p9c3c9590","NSW_1079708_12",936,12,"0A","5-10",NA,"no","no",45,""
"111","NSW1079709","NSW_1079709","Melaleuca quinquenervia",152.1211969,-32.74897577,"NSW_1079709_S48",12,"p9c3c9590","NSW_1079709_12",948,6,"0A","5-10",NA,"no","no",50,""
"112","NSW1079710","NSW_1079710","Melaleuca quinquenervia",152.4498453,-32.40498167,"NSW_1079710_S115",12,"p72bbeb40","NSW_1079710_12",960,5,"0A","5-10",NA,"no","no",20,"by lake"
"113","NSW1079711","NSW_1079711","Melaleuca quinquenervia",152.4519771,-32.39118881,"NSW_1079711_S37",12,"p72bbeb40","NSW_1079711_12",972,18,"0A","50-90",NA,"no","no",40,""
"114","NSW1079712","NSW_1079712","Melaleuca quinquenervia",151.5518817,-33.2118398,"NSW_1079712_S165",12,"pd135bc30","NSW_1079712_12",984,14,"0A","5-10",NA,"no","no",45,""
"115","NSW1079712","NSW_1079712","Melaleuca quinquenervia",151.5518817,-33.2118398,"NSW_1079712_1_S165",12,"pd135bc30","NSW_1079712_12",984,14,"0A","5-10",NA,"no","no",45,""
"116","NSW1079713","NSW_1079713","Melaleuca quinquenervia",152.1217409,-32.75081717,"NSW_1079713_S54",12,"p9c3c9590","NSW_1079713_12",996,10,"0A","1-5",NA,"no","no",85,""
"117","NSW1079714","NSW_1079714","Melaleuca quinquenervia",152.2852374,-32.58144257,"NSW_1079714_S89",12,"p72bbeb40","NSW_1079714_12",1008,17,"0",NA,NA,"no","no",70,""
"118","NSW1079715","NSW_1079715","Melaleuca quinquenervia",152.2735029,-32.59141373,"NSW_1079715_S64",12,"p72bbeb40","NSW_1079715_12",1020,16,"0A","1-5",NA,"no","no",40,""
"119","NSW1079716","NSW_1079716","Melaleuca quinquenervia",152.791601,-31.69863613,"NSW_1079716_S105",12,"pa9710de0","NSW_1079716_12",1032,7,"infected","90+",3,"no","no",80,""
"120","NSW1079717","NSW_1079717","Melaleuca quinquenervia",151.5524043,-33.20923622,"NSW_1079717_S101",12,"pd135bc30","NSW_1079717_12",1044,16,"0A","1-5",NA,"no","no",30,""
"121","NSW1079718","NSW_1079718","Melaleuca quinquenervia",152.1217611,-32.75083052,"NSW_1079718_S88",12,"p9c3c9590","NSW_1079718_12",1056,9,"0",NA,NA,"no","no",55,""
"122","NSW1079719","NSW_1079719","Melaleuca quinquenervia",152.2852374,-32.58144257,"NSW_1079719_S107",12,"p72bbeb40","NSW_1079719_12",1068,14,"0",NA,NA,"no","no",85,""
"123","NSW1079720","NSW_1079720","Melaleuca quinquenervia",152.4554997,-32.40380819,"NSW_1079720_S36",12,"p72bbeb40","NSW_1079720_12",1080,12,"0","10-50",NA,"no","no",55,""
"124","NSW1079721","NSW_1079721","Melaleuca quinquenervia",152.7908758,-31.69967177,"NSW_1079721_S26",12,"pa9710de0","NSW_1079721_12",1092,9,"0A","10-50",NA,"no","no",55,""
"125","NSW1079722","NSW_1079722","Melaleuca quinquenervia",152.2852374,-32.58144257,"NSW_1079722_S97",12,"p72bbeb40","NSW_1079722_12",1116,18,"0A","1-5",NA,"no","no",30,""
"126","NSW1079723","NSW_1079723","Melaleuca quinquenervia",152.1239062,-32.75014513,"NSW_1079723_S102",12,"p9c3c9590","NSW_1079723_12",1128,14,"0",NA,NA,"no","no",60,""
"127","NSW1079724","NSW_1079724","Melaleuca quinquenervia",152.2830159,-32.58366008,"NSW_1079724_S103",12,"p72bbeb40","NSW_1079724_12",1140,16,"0A","10-50",NA,"no","no",65,""
"128","NSW1079725","NSW_1079725","Melaleuca quinquenervia",152.4550092,-32.40455938,"NSW_1079725_S116",12,"p72bbeb40","NSW_1079725_12",1152,11,"0A","10-50",NA,"no","no",35,""
"129","NSW1079726","NSW_1079726","Melaleuca quinquenervia",152.7898261,-31.70961823,"NSW_1079726_S150",12,"pa9710de0","NSW_1079726_12",1164,11,"0A","10-50",NA,"yes","no",75,""
"130","NSW1079727","NSW_1079727","Melaleuca quinquenervia",152.2830206,-32.58364896,"NSW_1079727_S51",12,"p72bbeb40","NSW_1079727_12",1176,19,"0A","10-50",NA,"no","no",70,""
